date,county,fips,doses_administered,new_doses_administered
2/25/2021,Humboldt,23,27550,1075
2/25/2021,Imperial,25,24083,1033
2/25/2021,Inyo,27,3798,108
2/25/2021,Kern,29,114968,3517
2/25/2021,Kings,31,11880,312
2/25/2021,Lake,33,11326,447
2/25/2021,Lassen,35,3808,200
2/25/2021,Los Angeles,37,1942928,53706
2/25/2021,Madera,39,25130,861
2/25/2021,Marin,41,76672,2821
2/25/2021,Mariposa,43,2080,483
2/25/2021,Mendocino,45,24847,1817
2/25/2021,Merced,47,30982,781
2/25/2021,Modoc,49,1909,68
2/25/2021,Mono,51,7759,9
2/25/2021,Monterey,53,63278,2374
2/25/2021,Napa,55,42854,1946
2/25/2021,Nevada,57,21362,399
2/25/2021,Orange,59,660419,15603
2/25/2021,Placer,61,103040,3004
2/25/2021,Plumas,63,2863,383
2/25/2021,Riverside,65,414318,10629
2/25/2021,Sacramento,67,271160,7493
2/25/2021,San Benito,69,7830,326
2/25/2021,San Bernardino,71,330412,8295
2/25/2021,San Diego,73,778543,28619
2/25/2021,San Francisco,75,199987,5694
2/25/2021,San Joaquin,77,113494,5818
2/25/2021,San Luis Obispo,79,57991,2072
2/25/2021,San Mateo,81,191486,3902
2/25/2021,Santa Barbara,83,84001,3497
2/25/2021,Santa Clara,85,404238,10629
2/25/2021,Santa Cruz,87,72921,1744
2/25/2021,Shasta,89,26851,887
2/25/2021,Sierra,91,923,1
2/25/2021,Siskiyou,93,9228,158
2/25/2021,Solano,95,85493,2922
2/25/2021,Sonoma,97,127381,3068
2/25/2021,Stanislaus,99,88257,2640
2/25/2021,Sutter,101,17648,498
2/25/2021,Tehama,103,8018,297
2/25/2021,Trinity,105,1687,40
2/25/2021,Tulare,107,61741,1741
2/25/2021,Tuolumne,109,13325,77
2/25/2021,Ventura,111,168930,4997
2/25/2021,Yolo,113,49624,1191
2/25/2021,Yuba,115,8662,242
2/24/2021,Alameda,1,350830,9919
2/24/2021,Alpine,3,450,0
2/24/2021,Amador,5,8031,126
2/24/2021,Butte,7,50346,1823
2/24/2021,Calaveras,9,9462,102
2/24/2021,Colusa,11,2762,40
2/24/2021,Contra Costa,13,281761,9037
2/24/2021,Del Norte,15,3038,17
2/24/2021,El Dorado,17,38138,721
2/24/2021,Fresno,19,163091,2546
2/24/2021,Glenn,21,4611,42
2/24/2021,Humboldt,23,26475,197
2/24/2021,Imperial,25,23050,818
2/24/2021,Inyo,27,3690,119
2/24/2021,Kern,29,111451,4075
2/24/2021,Kings,31,11568,246
2/24/2021,Lake,33,10879,159
2/24/2021,Lassen,35,3608,105
2/24/2021,Los Angeles,37,1889222,34302
2/24/2021,Madera,39,24269,789
2/24/2021,Marin,41,73851,1741
2/24/2021,Mariposa,43,1597,221
2/24/2021,Mendocino,45,23030,544
2/24/2021,Merced,47,30201,896
2/24/2021,Modoc,49,1841,27
2/24/2021,Mono,51,7750,407
2/24/2021,Monterey,53,60904,828
2/24/2021,Napa,55,40908,615
2/24/2021,Nevada,57,20963,547
2/24/2021,Orange,59,644816,9531
2/24/2021,Placer,61,100036,2162
2/24/2021,Plumas,63,2480,27
2/24/2021,Riverside,65,403689,10805
2/24/2021,Sacramento,67,263667,5494
2/24/2021,San Benito,69,7504,183
2/24/2021,San Bernardino,71,322117,8738
2/24/2021,San Diego,73,749924,25241
2/24/2021,San Francisco,75,194293,4470
2/24/2021,San Joaquin,77,107676,4788
2/24/2021,San Luis Obispo,79,55919,1822
2/24/2021,San Mateo,81,187584,3136
2/24/2021,Santa Barbara,83,80504,921
2/24/2021,Santa Clara,85,393609,8674
2/24/2021,Santa Cruz,87,71177,1190
2/24/2021,Shasta,89,25964,548
2/24/2021,Sierra,91,922,2
2/24/2021,Siskiyou,93,9070,174
2/24/2021,Solano,95,82571,2537
2/24/2021,Sonoma,97,124313,2748
2/24/2021,Stanislaus,99,85617,2505
2/24/2021,Sutter,101,17150,261
2/24/2021,Tehama,103,7721,56
2/24/2021,Trinity,105,1647,4
2/24/2021,Tulare,107,60000,1093
2/24/2021,Tuolumne,109,13248,31
2/24/2021,Ventura,111,163933,4626
2/24/2021,Yolo,113,48433,2166
2/24/2021,Yuba,115,8420,103
2/23/2021,Alameda,1,340911,8388
2/23/2021,Alpine,3,450,28
2/23/2021,Amador,5,7905,61
2/23/2021,Butte,7,48523,775
2/23/2021,Calaveras,9,9360,145
2/23/2021,Colusa,11,2722,134
2/23/2021,Contra Costa,13,272724,4908
2/23/2021,Del Norte,15,3021,4
2/23/2021,El Dorado,17,37417,898
2/23/2021,Fresno,19,160545,2528
2/23/2021,Glenn,21,4569,87
2/23/2021,Humboldt,23,26278,533
2/23/2021,Imperial,25,22232,802
2/23/2021,Inyo,27,3571,37
2/23/2021,Kern,29,107376,2260
2/23/2021,Kings,31,11322,116
2/23/2021,Lake,33,10720,238
2/23/2021,Lassen,35,3503,167
2/23/2021,Los Angeles,37,1854920,27311
2/23/2021,Madera,39,23480,1691
2/23/2021,Marin,41,72110,874
